Timestamp,Device ID,Channel,Sensor Name,Sensor ID,Data Type,Unit,Value
2020-12-19T15:20:43.317Z,0af9bca0-9e97-11e9-9636-f9904f7b864b,4,Température Intérieur,e3d73e40-16b4-11ea-ba7c-716e7f5ba423,temp,c,28.0049991607666
2020-12-19T15:20:27.653Z,0af9bca0-9e97-11e9-9636-f9904f7b864b,4,Température Intérieur,e3d73e40-16b4-11ea-ba7c-716e7f5ba423,temp,c,27.91699981689453
2020-12-19T15:20:27.460Z,0af9bca0-9e97-11e9-9636-f9904f7b864b,1,Température Plaque,50f8d080-b0ba-11e9-b01f-db5cf74e7fb7,temp,c,30.687000274658203
2020-12-19T15:20:12.744Z,0af9bca0-9e97-11e9-9636-f9904f7b864b,1,Température Plaque,50f8d080-b0ba-11e9-b01f-db5cf74e7fb7,temp,c,30.625
2020-12-19T15:20:12.291Z,0af9bca0-9e97-11e9-9636-f9904f7b864b,4,Température Intérieur,e3d73e40-16b4-11ea-ba7c-716e7f5ba423,temp,c,27.829999923706055
2020-12-19T15:19:56.625Z,0af9bca0-9e97-11e9-9636-f9904f7b864b,4,Température Intérieur,e3d73e40-16b4-11ea-ba7c-716e7f5ba423,temp,c,27.829999923706055
2020-12-19T15:19:56.379Z,0af9bca0-9e97-11e9-9636-f9904f7b864b,1,Température Plaque,50f8d080-b0ba-11e9-b01f-db5cf74e7fb7,temp,c,30.625
2020-12-19T15:19:42.100Z,0af9bca0-9e97-11e9-9636-f9904f7b864b,4,Température Intérieur,e3d73e40-16b4-11ea-ba7c-716e7f5ba423,temp,c,27.742000579833984
2020-12-19T15:19:41.877Z,0af9bca0-9e97-11e9-9636-f9904f7b864b,1,Température Plaque,50f8d080-b0ba-11e9-b01f-db5cf74e7fb7,temp,c,30.625
2020-12-19T15:19:25.289Z,0af9bca0-9e97-11e9-9636-f9904f7b864b,4,Température Intérieur,e3d73e40-16b4-11ea-ba7c-716e7f5ba423,temp,c,27.742000579833984
2020-12-19T15:19:25.138Z,0af9bca0-9e97-11e9-9636-f9904f7b864b,1,Température Plaque,50f8d080-b0ba-11e9-b01f-db5cf74e7fb7,temp,c,30.562000274658203
2020-12-19T15:19:09.934Z,0af9bca0-9e97-11e9-9636-f9904f7b864b,4,Température Intérieur,e3d73e40-16b4-11ea-ba7c-716e7f5ba423,temp,c,27.829999923706055
2020-12-19T15:19:09.548Z,0af9bca0-9e97-11e9-9636-f9904f7b864b,1,Température Plaque,50f8d080-b0ba-11e9-b01f-db5cf74e7fb7,temp,c,30.562000274658203
2020-12-19T15:18:54.358Z,0af9bca0-9e97-11e9-9636-f9904f7b864b,4,Température Intérieur,e3d73e40-16b4-11ea-ba7c-716e7f5ba423,temp,c,27.91699981689453
2020-12-19T15:18:53.972Z,0af9bca0-9e97-11e9-9636-f9904f7b864b,1,Température Plaque,50f8d080-b0ba-11e9-b01f-db5cf74e7fb7,temp,c,30.625
